MHC,Number_of_binders,PCC,ANN_error,AUC,nh,nPeptide
B5301,148,0.5916427373886108,0.0716249197721481,0.6653225806451613,6,254
B5401,174,0.7000192999839783,0.0371989607810974,0.7044534412955467,6,255
B5701,48,0.7827869057655334,0.0394803471863269,0.7,6,59
B5801,884,0.8375173807144165,0.0100940838456153,0.8152421189470264,6,988
A0101,1054,0.6986089944839478,0.0134073868393898,0.715566037735849,16,1157
A0201,1908,0.7678424715995789,0.0404125899076461,0.8473557692307692,16,3089
A0202,798,0.693442702293396,0.0541024953126907,0.785522724007471,16,1447
A0203,804,0.7956278324127197,0.0409606583416461,0.8072765875313647,16,1443
A0206,924,0.7214051485061646,0.0453383475542068,0.7855587808417996,16,1437
A0301,1577,0.6700692176818848,0.035807155072689,0.7258876363855566,16,2094
A1101,1292,0.6895902156829834,0.0393402576446533,0.8040271132376396,16,1985
A2301,55,0.0881622359156608,0.0905694961547851,0.4363636363636363,16,104
A2402,98,0.2693451046943664,0.0760777220129966,0.6829573934837092,16,197
A2403,225,0.2846496999263763,0.0383437760174274,0.7091836734693878,16,254
A2601,619,0.6284308433532715,0.0153363477438688,0.7182539682539684,16,672
A2902,92,0.6277410984039307,0.0624885596334934,0.6706349206349207,16,160
A3001,592,0.5576241612434387,0.0315433740615844,0.7403051493960584,16,669
A3002,63,-0.0366484299302101,0.1493376493453979,0.3857142857142857,16,92
A3101,1442,0.6684905886650085,0.0338560491800308,0.7674740484429066,16,1869
A3301,956,0.5519042611122131,0.0358349345624446,0.6435238251187162,16,1140
A6801,643,0.6920442581176758,0.0437060669064521,0.7600230414746544,16,1141
A6802,1037,0.6106619238853455,0.0471624583005905,0.7613712374581939,16,1434
A6901,747,0.5510624647140503,0.0198761075735092,0.6056443556443557,16,833
B0702,1054,0.6902284026145935,0.0255534555763006,0.8358294930875576,16,1262
B0801,688,0.1734755635261535,0.0124568874016404,0.5,16,708
B1501,799,0.6524626016616821,0.0178086664527654,0.6431085043988269,16,978
B1801,71,0.7562850713729858,0.0235484186559915,0.8785714285714286,16,118
B2705,913,0.47609344124794,0.012254262343049,0.6003003003003003,16,969
B3501,525,0.5141857862472534,0.0507723055779933,0.6287037037037038,16,736
B4001,1038,0.5486427545547485,0.0120347738265991,0.5,16,1078
B4002,79,0.4891372919082641,0.0500933974981308,0.6666666666666666,16,118
B4402,75,0.3212718367576599,0.0402320437133312,0.5,16,119
B4403,85,0.7566912770271301,0.0253452584147453,0.8403361344537814,16,119
B4501,65,0.2125345468521118,0.038601815700531,0.5555555555555556,16,114
B5101,159,0.543031632900238,0.0668260529637336,0.7186379928315412,16,244
B5301,148,0.4750339984893799,0.0886240601539611,0.6258064516129033,16,254
B5401,174,0.7416298985481262,0.0406167544424533,0.8704453441295547,16,255
B5701,48,0.5303938388824463,0.0691813752055168,0.7,16,59
B5801,884,0.7205121517181396,0.0170116033405065,0.7803054923626909,16,988
A0101,1054,0.6032032370567322,0.0159481689333915,0.5929245283018867,64,1157
A0201,1908,0.7254000902175903,0.0445915088057518,0.8016493055555556,64,3089
A0202,798,0.722134530544281,0.0511654391884803,0.8127244863751737,64,1447
A0203,804,0.7975578308105469,0.0395466424524784,0.8168307276587532,64,1443
A0206,924,0.6248754262924194,0.0534461475908756,0.7096205681111342,64,1437
A0301,1577,0.6835025548934937,0.0346997007727623,0.7463530050033155,64,2094
A1101,1292,0.6540737152099609,0.043455071747303,0.7720864661654135,64,1985
A2301,55,0.3066825270652771,0.0670051500201225,0.4863636363636363,64,104
A2402,98,0.2947352826595306,0.0719913095235824,0.5877192982456141,64,197
A2403,225,0.3260399997234344,0.0403173565864563,0.6887755102040817,64,254
A2601,619,0.0890407040715217,0.0248586311936378,0.5,64,672
A2902,92,0.6813894510269165,0.0597049072384834,0.7658730158730158,64,160
A3001,592,0.7013262510299683,0.0215056035667657,0.7183725365543547,64,669
A3002,63,-0.0939588323235511,0.1354196518659591,0.4571428571428571,64,92
A3101,1442,0.6419818997383118,0.0355548337101936,0.7349480968858133,64,1869
A3301,956,0.3961893022060394,0.0400937274098396,0.5960373342066482,64,1140
A6801,643,0.6408950090408325,0.048281654715538,0.7486175115207373,64,1141
A6802,1037,0.3063539266586303,0.0678336769342422,0.586231884057971,64,1434
A6901,747,0.094698280096054,0.0283303037285804,0.5,64,833
B0702,1054,0.6884593367576599,0.0249020811170339,0.7779697900665643,64,1262
B0801,688,0.0553536452353,0.0130483424291014,0.5,64,708
B1501,799,0.5177553296089172,0.0218411833047866,0.6038123167155426,64,978
B1801,71,0.806752622127533,0.020484747365117,0.8428571428571427,64,118
